composition,icsdnum,energyperatom
O7V4,19013.0,-7.976
C3N4,83263.0,-7.976
Al2Nb35O70Rb4,75069.0,-7.976
La1Mn1O3,180180.0,-7.976
La1Mn1O3,161928.0,-7.976
O7V4,2212.0,-7.974
Al1N3Nb4,181352.0,-7.974
C2Mo1Y1,618370.0,-7.971
Ba1O15V10,14173.0,-7.97
C3N4,83264.0,-7.97
Cr2Mn3O12Si3,77436.0,-7.97
Fe1O5Ti2,37231.0,-7.97
Cr2Mn3O12Si3,27379.0,-7.97
Ba1N7Si4Y1,98276.0,-7.97
Ba1O3Zr1,97461.0,-7.97
La1Mn1O3,54919.0,-7.968999999999999
Fe1Nb2O6,15855.0,-7.968999999999999
Fe1Nb2O6,31943.0,-7.968999999999999
Fe1Nb2O6,151720.0,-7.968999999999999
Fe1Nb2O6,201962.0,-7.968
C5V6,654841.0,-7.968
Mn3O12Si3V2,27380.0,-7.9670000000000005
C5N4,2130.0,-7.9670000000000005
La1Mn1O3,55967.0,-7.9670000000000005
Ba1O15V10,82099.0,-7.9639999999999995
La1Mn1O3,50335.0,-7.9639999999999995
Mn2O5Y1,167328.0,-7.962999999999999
Mn2O4Si1,88026.0,-7.962999999999999
Mn2O5Y1,159271.0,-7.962000000000001
O4Sr1Y2,25701.0,-7.962000000000001
Mn2O5Y1,165869.0,-7.961
Mo3O12Y2,160286.0,-7.961
B6C3Nb7,411625.0,-7.961
Ba1O18V13,97948.0,-7.961
C1Ni2W4,618587.0,-7.961
Ba4O27Ti12,280159.0,-7.959
Ba1O15V10,413302.0,-7.957999999999999
N7Si4Sr1Y1,150459.0,-7.956
Al1C3Nb4,163550.0,-7.956
Ba1O15V10,413301.0,-7.955
Ba1O18V13,51472.0,-7.955
N10Si7Sr1,154166.0,-7.955
O1Zr1,76019.0,-7.954
Cr2O4Si1,89073.0,-7.954
Ba1O4Y2,78483.0,-7.949
O4Si1Ti1,166437.0,-7.949
O3Sr1Zr1,173398.0,-7.9479999999999995
O9V5,69882.0,-7.947
O9V5,9037.0,-7.947
Hf1Mo2O8,166517.0,-7.946000000000001
K1Nb8O14,71218.0,-7.945
